ID_Produto,Nome_Produto,Valor,Moeda
PRD000001,Conta Digital 0001,"R$ 21,528.06",BRL
PRD000002,Cartao de Credito 0002,"R$ 1,813.88",BRL
PRD000003,Emprestimo Pessoal 0003,"R$ 16,239.18",BRL
PRD000004,Financiamento 0004,"$ 1,792.07",USD
PRD000005,Seguro 0005,"R$ 5,447.93",BRL
PRD000006,CDB 0006,"R$ 24,333.59",BRL
PRD000007,Fundo de Investimento 0007,"R$ 6,562.86",BRL
PRD000008,Cambio 0008,"$ 2,917.64",USD
PRD000009,Previdencia 0009,"R$ 3,982.59",BRL
PRD000010,Titulo de Capitalizacao 0010,"R$ 11,593.26",BRL
PRD000011,Conta Digital 0011,"R$ 20,171.55",BRL
PRD000012,Cartao de Credito 0012,"$ 2,406.56",USD
PRD000013,Emprestimo Pessoal 0013,"R$ 12,985.46",BRL
PRD000014,Financiamento 0014,"R$ 7,712.37",BRL
PRD000015,Seguro 0015,"R$ 17,159.59",BRL
PRD000016,CDB 0016,"$ 2,706.69",USD
PRD000017,Fundo de Investimento 0017,"R$ 15,482.03",BRL
PRD000018,Cambio 0018,"R$ 11,810.89",BRL
PRD000019,Previdencia 0019,"R$ 1,640.99",BRL
PRD000020,Titulo de Capitalizacao 0020,"$ 4,221.37",USD
PRD000021,Conta Digital 0021,"R$ 10,203.06",BRL
PRD000022,Cartao de Credito 0022,"R$ 3,296.79",BRL
PRD000023,Emprestimo Pessoal 0023,"R$ 10,588.90",BRL
PRD000024,Financiamento 0024,$ 20.11,USD
PRD000025,Seguro 0025,"R$ 8,213.86",BRL
PRD000026,CDB 0026,"R$ 21,381.39",BRL
PRD000027,Fundo de Investimento 0027,"R$ 1,105.31",BRL
PRD000028,Cambio 0028,"$ 1,528.59",USD
PRD000029,Previdencia 0029,"R$ 22,634.67",BRL
PRD000030,Titulo de Capitalizacao 0030,"R$ 12,426.63",BRL
PRD000031,Conta Digital 0031,"R$ 7,087.88",BRL
PRD000032,Cartao de Credito 0032,"$ 4,668.12",USD
PRD000033,Emprestimo Pessoal 0033,"R$ 17,789.81",BRL
PRD000034,Financiamento 0034,"R$ 15,807.40",BRL
PRD000035,Seguro 0035,"R$ 23,978.09",BRL
PRD000036,CDB 0036,"$ 5,729.14",USD
