ID_Transacao,ID_Produto,ID_Cliente,Data_Transacao,Canal_Compra
TRX00000001,PRD000819,CLI000828,23/07/2021,App
TRX00000002,PRD001060,CLI000656,30/12/2023,App
TRX00000003,PRD001849,CLI000849,19/07/2018,App
TRX00000004,PRD000502,CLI000634,02/02/2026,App
TRX00000005,PRD000033,CLI000201,21/12/2023,App
TRX00000006,PRD000787,CLI000163,11/03/2019,App
TRX00000007,PRD001974,CLI000037,30/04/2026,App
TRX00000008,PRD000218,CLI000593,07/03/2017,App
TRX00000009,PRD000203,CLI000203,14/11/2025,App
TRX00000010,PRD001179,CLI000835,03/08/2025,App
TRX00000011,PRD001415,CLI000832,10/06/2018,App
TRX00000012,PRD001316,CLI000316,12/04/2022,App
TRX00000013,PRD001214,CLI000214,23/05/2018,App
TRX00000014,PRD000422,CLI000649,01/07/2017,Agencia
TRX00000015,PRD001856,CLI000396,16/05/2020,App
TRX00000016,PRD000282,CLI000221,13/05/2025,App
TRX00000017,PRD001262,CLI000262,04/01/2021,App
TRX00000018,PRD000866,CLI000804,22/01/2024,App
TRX00000019,PRD000164,CLI000950,22/05/2024,Agencia
TRX00000020,PRD001500,CLI000500,06/12/2025,Agencia
TRX00000021,PRD000223,CLI000945,26/02/2021,App
TRX00000022,PRD000788,CLI000481,30/07/2022,App
TRX00000023,PRD001923,CLI000756,10/01/2025,App
TRX00000024,PRD000307,CLI000470,22/08/2024,App
TRX00000025,PRD000501,CLI000524,24/12/2013,App
TRX00000026,PRD000495,CLI000495,19/09/2012,App
TRX00000027,PRD000906,CLI000653,02/05/2022,App
TRX00000028,PRD000481,CLI000595,21/03/2023,App
TRX00000029,PRD000377,CLI000984,03/02/2015,App
TRX00000030,PRD001556,CLI000530,12/04/2026,App
TRX00000031,PRD001230,CLI000381,27/03/2022,App
TRX00000032,PRD001217,CLI000395,30/04/2022,Agencia
TRX00000033,PRD001660,CLI000660,10/09/2023,App
TRX00000034,PRD000383,CLI000383,01/09/2025,Agencia
