paridadeCompra;paridadeVenda;vl_compra;vl_venda;dt_cotacao;tipo_boletim;moeda
1.0;1.0;2.506;2.516;2001-08-15;Abertura;USD
1.0;1.0;2.506;2.508;2001-08-15;Intermediário;USD
1.0;1.0;2.506;2.508;2001-08-15;Intermediário;USD
1.0;1.0;2.5;2.502;2001-08-15;Intermediário;USD
1.0;1.0;2.501;2.503;2001-08-15;Intermediário;USD
1.0;1.0;2.5;2.502;2001-08-15;Intermediário;USD
1.0;1.0;2.498;2.5;2001-08-15;Intermediário;USD
1.0;1.0;2.489;2.491;2001-08-15;Intermediário;USD
1.0;1.0;2.49;2.491;2001-08-15;Intermediário;USD
1.0;1.0;2.489;2.491;2001-08-15;Intermediário;USD
1.0;1.0;2.489;2.491;2001-08-15;Intermediário;USD
1.0;1.0;2.486;2.487;2001-08-15;Intermediário;USD
1.0;1.0;2.494;2.496;2001-08-15;Intermediário;USD
1.0;1.0;2.49;2.492;2001-08-15;Intermediário;USD
1.0;1.0;2.49;2.492;2001-08-15;Fechamento Interbancário;USD
1.0;1.0;2.4997;2.5005;2001-08-15;Fechamento;USD
1.0;1.0;2.465;2.475;2001-08-16;Abertura;USD
1.0;1.0;2.474;2.476;2001-08-16;Intermediário;USD
1.0;1.0;2.48;2.483;2001-08-16;Intermediário;USD
1.0;1.0;2.484;2.485;2001-08-16;Intermediário;USD
1.0;1.0;2.484;2.486;2001-08-16;Intermediário;USD
1.0;1.0;2.488;2.49;2001-08-16;Intermediário;USD
1.0;1.0;2.492;2.495;2001-08-16;Intermediário;USD
1.0;1.0;2.495;2.497;2001-08-16;Intermediário;USD
1.0;1.0;2.495;2.496;2001-08-16;Intermediário;USD
1.0;1.0;2.495;2.496;2001-08-16;Intermediário;USD
1.0;1.0;2.495;2.496;2001-08-16;Intermediário;USD
1.0;1.0;2.491;2.493;2001-08-16;Intermediário;USD
1.0;1.0;2.495;2.496;2001-08-16;Intermediário;USD
1.0;1.0;2.499;2.502;2001-08-16;Intermediário;USD
1.0;1.0;2.499;2.501;2001-08-16;Fechamento Interbancário;USD
1.0;1.0;2.4869;2.4877;2001-08-16;Fechamento;USD
1.0;1.0;2.51;2.52;2001-08-17;Abertura;USD
1.0;1.0;2.517;2.52;2001-08-17;Intermediário;USD
1.0;1.0;2.518;2.522;2001-08-17;Intermediário;USD
1.0;1.0;2.516;2.517;2001-08-17;Intermediário;USD
1.0;1.0;2.518;2.52;2001-08-17;Intermediário;USD
1.0;1.0;2.519;2.522;2001-08-17;Intermediário;USD
1.0;1.0;2.52;2.523;2001-08-17;Intermediário;USD
1.0;1.0;2.521;2.522;2001-08-17;Intermediário;USD
1.0;1.0;2.521;2.523;2001-08-17;Intermediário;USD
1.0;1.0;2.521;2.523;2001-08-17;Intermediário;USD
1.0;1.0;2.521;2.523;2001-08-17;Intermediário;USD
1.0;1.0;2.528;2.53;2001-08-17;Intermediário;USD
1.0;1.0;2.534;2.538;2001-08-17;Intermediário;USD
1.0;1.0;2.519;2.522;2001-08-17;Intermediário;USD
1.0;1.0;2.52;2.523;2001-08-17;Fechamento Interbancário;USD
1.0;1.0;2.5227;2.5235;2001-08-17;Fechamento;USD
1.0;1.0;2.535;2.545;2001-08-20;Abertura;USD
1.0;1.0;2.536;2.541;2001-08-20;Intermediário;USD
1.0;1.0;2.534;2.536;2001-08-20;Intermediário;USD
1.0;1.0;2.528;2.53;2001-08-20;Intermediário;USD
1.0;1.0;2.526;2.527;2001-08-20;Intermediário;USD
1.0;1.0;2.528;2.53;2001-08-20;Intermediário;USD
1.0;1.0;2.533;2.535;2001-08-20;Intermediário;USD
1.0;1.0;2.532;2.534;2001-08-20;Intermediário;USD
1.0;1.0;2.532;2.534;2001-08-20;Intermediário;USD
1.0;1.0;2.532;2.534;2001-08-20;Intermediário;USD
1.0;1.0;2.532;2.534;2001-08-20;Intermediário;USD
1.0;1.0;2.53;2.533;2001-08-20;Intermediário;USD
1.0;1.0;2.525;2.527;2001-08-20;Intermediário;USD
1.0;1.0;2.518;2.52;2001-08-20;Intermediário;USD
1.0;1.0;2.518;2.52;2001-08-20;Fechamento Interbancário;USD
1.0;1.0;2.5298;2.5306;2001-08-20;Fechamento;USD
1.0;1.0;2.515;2.525;2001-08-21;Abertura;USD
1.0;1.0;2.522;2.524;2001-08-21;Intermediário;USD
1.0;1.0;2.522;2.525;2001-08-21;Intermediário;USD
1.0;1.0;2.53;2.531;2001-08-21;Intermediário;USD
1.0;1.0;2.533;2.535;2001-08-21;Intermediário;USD
1.0;1.0;2.536;2.537;2001-08-21;Intermediário;USD
1.0;1.0;2.531;2.533;2001-08-21;Intermediário;USD
1.0;1.0;2.53;2.533;2001-08-21;Intermediário;USD
1.0;1.0;2.53;2.533;2001-08-21;Intermediário;USD
1.0;1.0;2.53;2.533;2001-08-21;Intermediário;USD
1.0;1.0;2.53;2.533;2001-08-21;Intermediário;USD
1.0;1.0;2.547;2.552;2001-08-21;Intermediário;USD
1.0;1.0;2.547;2.55;2001-08-21;Intermediário;USD
1.0;1.0;2.549;2.552;2001-08-21;Intermediário;USD
1.0;1.0;2.549;2.551;2001-08-21;Fechamento Interbancário;USD
1.0;1.0;2.5345;2.5353;2001-08-21;Fechamento;USD
1.0;1.0;2.505;2.515;2001-08-22;Abertura;USD
1.0;1.0;2.515;2.517;2001-08-22;Intermediário;USD
1.0;1.0;2.518;2.519;2001-08-22;Intermediário;USD
1.0;1.0;2.526;2.527;2001-08-22;Intermediário;USD
1.0;1.0;2.529;2.53;2001-08-22;Intermediário;USD
1.0;1.0;2.526;2.528;2001-08-22;Intermediário;USD
1.0;1.0;2.53;2.532;2001-08-22;Intermediário;USD
1.0;1.0;2.524;2.526;2001-08-22;Intermediário;USD
1.0;1.0;2.524;2.526;2001-08-22;Intermediário;USD
1.0;1.0;2.524;2.526;2001-08-22;Intermediário;USD
1.0;1.0;2.524;2.526;2001-08-22;Intermediário;USD
1.0;1.0;2.522;2.523;2001-08-22;Intermediário;USD
1.0;1.0;2.518;2.519;2001-08-22;Intermediário;USD
1.0;1.0;2.521;2.523;2001-08-22;Intermediário;USD
1.0;1.0;2.52;2.522;2001-08-22;Fechamento Interbancário;USD
1.0;1.0;2.5223;2.5231;2001-08-22;Fechamento;USD
1.0;1.0;2.515;2.525;2001-08-23;Abertura;USD
1.0;1.0;2.515;2.517;2001-08-23;Intermediário;USD
1.0;1.0;2.515;2.517;2001-08-23;Intermediário;USD
1.0;1.0;2.518;2.52;2001-08-23;Intermediário;USD
1.0;1.0;2.525;2.527;2001-08-23;Intermediário;USD
1.0;1.0;2.53;2.534;2001-08-23;Intermediário;USD
1.0;1.0;2.531;2.532;2001-08-23;Intermediário;USD
1.0;1.0;2.53;2.532;2001-08-23;Intermediário;USD
